GeneSymbol	logFC	AveExpr	t	P.Value	adj.P.Val	B	contrast	direction	logFC_ave	power	TF
DPP9	-0.5416900084027443	6.914299240790208	-4.925998430670579	1.7495604166083974e-5	0.005473180399156339	2.89226722001251	T3d	-1	-0.5416900084027443	0.994136619467002	0
C16ORF70	-0.5114494933981746	9.20912319719032	-4.917510781892881	1.7960676090821942e-5	0.005563675470073304	2.868223440182902	T3d	-1	-0.646818988178206	0.999119027119605	0
SLC12A8	0.824417496850816	4.391406541288349	4.916394355525431	1.8022753727568482e-5	0.005563675470073304	2.8650613040358337	T3d	1	0.824417496850816	0.9270900141142673	0
MED1	-0.5534744481368445	6.681921700556153	-4.915954939238398	1.8047245215440098e-5	0.005563675470073304	2.8638167433867405	T3d	-1	-0.5741004375784868	0.9822960604194971	1
RNPEP	-0.5452521969924549	6.39223629439244	-4.914911071582121	1.8105558896442483e-5	0.005563675470073304	2.860860261173631	T3d	-1	-0.5590140628988105	0.9877171655215868	0
ABCB6	-0.8858443335754869	7.240377167172377	-4.9140741716359395	1.8152445467557317e-5	0.005563675470073304	2.858490030772167	T3d	-1	-1.2554094466896566	0.9961992592183061	0
CARD19	-0.8698122582458865	5.247304913552478	-4.913740721688732	1.81711601857659e-5	0.005563675470073304	2.8575456661704894	T3d	-1	-0.8285682680707929	NA	0
PTPRM	-0.7365206623355478	7.615141538292625	-4.9114167021191895	1.8302126426461648e-5	0.005575048353373674	2.850964078372563	T3d	-1	-0.6600468101696109	0.9924208465490365	0
IPO13	0.5415894080061001	10.793313198936593	4.909376955733592	1.8417842935951552e-5	0.005575825126250501	2.845187945244094	T3d	1	0.5415894080061001	0.9017289155779324	0
ADK	-0.5077165139813236	8.718807275628464	-4.908428905820408	1.8471872950123835e-5	0.005583605227764119	2.842503393923838	T3d	-1	-0.5327580081576904	0.9999947280641305	0
TBC1D9B	-0.6523300124837625	6.497320098309341	-4.905366881305067	1.8647454261304814e-5	0.00559886657416915	2.833833344974826	T3d	-1	-0.6280685861930809	0.9985711388849831	0
